f_Hz,mag_Zt_ideal_ohm,phase_Zt_ideal_deg,mag_Zt_nonideal_ohm,phase_Zt_nonideal_deg,mag_G_nonideal_ohm,phase_G_nonideal_deg
58127.5731142982,99933.3715195472,177.908337062176,99936.5900735276,177.874900809255,99936.5900735276,-2.12509919074514
58598.1549695445,99932.2894477556,177.891418865803,99935.5764439407,177.857710449416,99935.5764439407,-2.14228955058424
59072.5465018618,99931.189820856,177.874364077571,99934.546367381,177.840381258334,99934.546367381,-2.15961874166573
59550.7785531519,99930.0723546353,177.857171600777,99933.4995775023,177.822912120298,99933.4995775023,-2.17708787970219
60032.8822150028,99928.9367602984,177.839840330062,99932.4358036624,177.805301910762,99932.4358036624,-2.19469808923799
60518.8888307094,99927.7827443953,177.822369151343,99931.3547708537,177.787549496284,99931.3547708537,-2.21245050371584
61008.829997312,99926.6100087463,177.804756941754,99930.2561996342,177.769653734456,99930.2561996342,-2.23034626554391
61502.7375676503,99925.4182503668,177.787002569576,99929.1398060558,177.751613473837,99929.1398060558,-2.24838652616321
62000.643652434,99924.2071613903,177.769104894173,99928.0053015928,177.733427553885,99928.0053015928,-2.26657244611547
62502.5806223303,99922.9764289906,177.751062765924,99926.8523930684,177.715094804889,99926.8523930684,-2.28490519511147
63008.5811100697,99921.7257353026,177.732875026158,99925.6807825807,177.6966140479,99925.6807825807,-2.30338595209973
63518.6780125658,99920.4547573422,177.714540507089,99924.4901674268,177.677984094664,99924.4901674268,-2.32201590533565
64032.904493055,99919.1631669239,177.696058031743,99923.2802400265,177.659203747549,99923.2802400265,-2.3407962524511
64551.2939832527,99917.8506305789,177.677426413895,99922.0506878444,177.640271799476,99922.0506878444,-2.35972820052435
65073.8801855265,99916.5168094699,177.658644457999,99920.8011933105,177.621187033849,99920.8011933105,-2.37881296615055
65600.697075087,99915.1613593062,177.63971095912,99919.5314337401,177.601948224488,99919.5314337401,-2.39805177551248
66131.7789021976,99913.7839302567,177.620624702864,99918.2410812524,177.582554135548,99918.2410812524,-2.41744586445188
66667.1601944003,99912.3841668616,177.601384465309,99916.9298026871,177.563003521459,99916.9298026871,-2.43699647854109
67206.8757587608,99910.9617079426,177.581989012937,99915.597259521,177.543295126845,99915.597259521,-2.45670487315513
67750.9606841311,99909.5161865124,177.562437102562,99914.2431077817,177.523427686456,99914.2431077817,-2.47657231354424
68299.4503434323,99908.0472296819,177.542727481258,99912.8669979614,177.503399925093,99912.8669979614,-2.49660007490686
68852.3803959518,99906.5544585664,177.522858886293,99911.4685749287,177.483210557537,99911.4685749287,-2.51678944246292
69409.7867896634,99905.0374881906,177.502830045052,99910.0474778387,177.462858288472,99910.0474778387,-2.53714171152765
69971.7057635642,99903.4959273913,177.482639674969,99908.6033400423,177.442341812414,99908.6033400423,-2.55765818758581
70538.1738500302,99901.9293787196,177.462286483456,99907.1357889942,177.421659813634,99907.1357889942,-2.5783401863663
71109.2278771915,99900.3374383409,177.441769167825,99905.6444461584,177.400810966083,99905.6444461584,-2.59918903391715
71684.9049713268,99898.7196959336,177.421086415222,99904.1289269136,177.379793933319,99904.1289269136,-2.62020606668103
72265.2425592773,99897.075734586,177.400236902549,99902.5888404563,177.358607368429,99902.5888404563,-2.64139263157112
72850.2783708792,99895.4051306921,177.379219296392,99901.0237897024,177.337249913953,99901.0237897024,-2.66275008604735
73440.0504414174,99893.7074538452,177.358032252947,99899.4333711878,177.315720201807,99899.4333711878,-2.6842797981931
74034.5971140979,99891.9822667305,177.336674417949,99897.8171749668,177.294016853208,99897.8171749668,-2.70598314679236
74633.9570425413,99890.2291250151,177.315144426589,99896.1747845097,177.272138478593,99896.1747845097,-2.7278615214072
75238.1691932944,99888.4475772376,177.293440903449,99894.5057765979,177.250083677544,99894.5057765979,-2.74991632245569
75847.2728483651,99886.6371646947,177.271562462419,99892.8097212181,177.22785103871,99892.8097212181,-2.77214896129025
76461.3076077758,99884.7974213271,177.249507706626,99891.0861814546,177.205439139724,99891.0861814546,-2.79456086027637
77080.3133921369,99882.9278736028,177.227275228355,99889.3347133801,177.182846547128,99889.3347133801,-2.81715345287172
77704.3304452437,99881.0280403992,177.204863608975,99887.5548659442,177.160071816294,99887.5548659442,-2.83992818370574
78333.3993366921,99879.0974328835,177.18227141886,99885.7461808613,177.137113491341,99885.7461808613,-2.86288650865949
78967.5609645161,99877.1355543903,177.159497217312,99883.9081924958,177.113970105054,99883.9081924958,-2.88602989494602
79606.8565578463,99875.1419002987,177.136539552488,99882.0404277459,177.090640178809,99882.0404277459,-2.90935982119106
80251.3276795918,99873.1159579063,177.113396961314,99880.1424059255,177.067122222486,99880.1424059255,-2.93287777751413
80901.0162291411,99871.0572063021,177.090067969415,99878.2136386448,177.04341473439,99878.2136386448,-2.95658526561
81555.964445086,99868.9651162369,177.066551091033,99876.2536296881,177.019516201169,99876.2536296881,-2.98048379883056
82216.2149079688,99866.8391499925,177.042844828947,99874.2618748906,176.995425097733,99874.2618748906,-3.00457490226705
82881.8105430498,99864.6787612476,177.018947674396,99872.2378620131,176.971139887167,99872.2378620131,-3.02886011283271
83552.7946230979,99862.4833949434,176.994858107,99870.1810706144,176.946659020654,99870.1810706144,-3.05334097934568
84229.2107712041,99860.2524871452,176.970574594678,99868.0909719225,176.921980937388,99868.0909719225,-3.07801906261242
84911.1029636188,99857.985464904,176.946095593571,99865.9670287026,176.897104064489,99865.9670287026,-3.10289593551139
85598.5155326085,99855.681746114,176.921419547958,99863.8086951249,176.872026816923,99863.8086951249,-3.1279731830771
86291.4931693396,99853.3407393694,176.896544890179,99861.6154166284,176.846747597416,99861.6154166284,-3.15325240258452
86990.0809267839,99850.9618438184,176.871470040555,99859.3866297842,176.821264796366,99859.3866297842,-3.17873520363386
87694.3242226474,99848.5444490151,176.8461934073,99857.1217621562,176.795576791764,99857.1217621562,-3.20442320823569
88404.2688423224,99846.087934769,176.820713386449,99854.8202321591,176.769681949104,99854.8202321591,-3.23031805089628
89119.9609418654,99843.591670993,176.795028361768,99852.481448915,176.743578621296,99852.481448915,-3.2564213787035
89841.4470509972,99841.0550175475,176.76913670468,99850.104812108,176.717265148587,99850.104812108,-3.2827348514128
90568.7740761277,99838.4773240844,176.743036774174,99847.6897118356,176.690739858466,99847.6897118356,-3.30926014153367
91301.9893034056,99835.8579298867,176.716726916731,99845.2355284588,176.664001065584,99845.2355284588,-3.33599893441635
92041.1404017939,99833.1961637068,176.690205466238,99842.7416324496,176.637047071661,99842.7416324496,-3.36295292833886
92786.275426167,99830.4913436023,176.663470743902,99840.2073842362,176.609876165406,99840.2073842362,-3.39012383459431
93537.4428204358,99827.7427767691,176.636521058173,99837.632134046,176.582486622421,99837.632134046,-3.41751337757851
94294.6914206978,99824.9497593719,176.609354704657,99835.0152217457,176.554876705122,99835.0152217457,-3.44512329487788
95058.0704584117,99822.1115763728,176.581969966032,99832.3559766802,176.527044662642,99832.3559766802,-3.47295533735763
95827.6295635973,99819.2275013565,176.554365111969,99829.6537175077,176.49898873075,99829.6537175077,-3.50101126925015
96603.4187680635,99816.296796354,176.526538399041,99826.9077520335,176.470707131756,99826.9077520335,-3.52929286824376
97385.4885086602,99813.3187116621,176.498488070648,99824.1173770402,176.442198074428,99824.1173770402,-3.55780192557166
98173.8896305575,99810.292485662,176.470212356923,99821.2818781168,176.413459753899,99821.2818781168,-3.58654024610104
98968.6733905512,99807.2173446343,176.441709474657,99818.4005294835,176.384490351577,99818.4005294835,-3.61550964842259
99769.8914603958,99804.0925025708,176.412977627209,99815.4725938159,176.35528803506,99815.4725938159,-3.64471196494012
100577.595930163,99800.917160985,176.384015004423,99812.4973220645,176.32585095804,99812.4973220645,-3.67414904196038
101391.83931163,99797.690508718,176.354819782543,99809.4739532735,176.296177260217,99809.4739532735,-3.70382273978314
102212.67454169,99794.4117217434,176.32539012413,99806.4017143955,176.266265067209,99806.4017143955,-3.73373493279143
103040.154985798,99791.0799629677,176.295724177976,99803.279820104,176.236112490458,99803.279820104,-3.76388750954201
103874.334441436,99787.6943820292,176.265820079019,99800.1074726034,176.205717627144,99800.1074726034,-3.79428237285586
104715.267141616,99784.2541150926,176.235675948259,99796.8838614356,176.175078560091,99796.8838614356,-3.82492143990906
105563.007758401,99780.758284642,176.205289892672,99793.6081632843,176.144193357676,99793.6081632843,-3.85580664232357
106417.611406461,99777.2059992698,176.174660005126,99790.2795417764,176.113060073742,99790.2795417764,-3.88693992625834
107279.133646656,99773.5963534633,176.143784364297,99786.8971472801,176.0816767475,99786.8971472801,-3.91832325250044
108147.63048965,99769.9284273873,176.112661034581,99783.4601167002,176.050041403444,99783.4601167002,-3.94995859655624
109023.15839955,99766.201286665,176.081288066012,99779.9675732709,176.018152051257,99779.9675732709,-3.98184794874287
109905.774297578,99762.4139821543,176.049663494177,99776.4186263451,175.98600668572,99776.4186263451,-4.0139933142795
110795.535565772,99758.5655497217,176.01778534013,99772.8123711806,175.953603286621,99772.8123711806,-4.04639671337896
111692.500050717,99754.6550100126,175.985651610307,99769.1478887236,175.920939818661,99769.1478887236,-4.07906018133915
112596.726067303,99750.6813682191,175.953260296444,99765.4242453887,175.888014231365,99765.4242453887,-4.11198576863465
113508.27240252,99746.6436138429,175.920609375489,99761.6404928361,175.854824458992,99761.6404928361,-4.14517554100829
114427.198319278,99742.5407204567,175.887696809521,99757.7956677453,175.821368420437,99757.7956677453,-4.1786315795627
115353.56356026,99738.371645461,175.854520545664,99753.8887915857,175.787644019148,99753.8887915857,-4.21235598085184
116287.428351806,99734.1353298376,175.821078516001,99749.9188703838,175.753649143027,99749.9188703838,-4.24635085697259
117228.853407829,99729.8306979002,175.787368637496,99745.8848944872,175.719381664344,99745.8848944872,-4.28061833565607
118177.899933763,99725.456657041,175.753388811904,99741.7858383256,175.684839439641,99741.7858383256,-4.31516056035913
119134.629630538,99721.0120974735,175.719136925693,99737.6206601673,175.650020309644,99737.6206601673,-4.34997969035557
120099.104698599,99716.4958919729,175.684610849957,99733.3883018738,175.614922099173,99733.3883018738,-4.38507790082733
121071.387841942,99711.9068956111,175.649808440334,99729.0876886493,175.579542617044,99729.0876886493,-4.42045738295554
122051.542272196,99707.2439454896,175.614727536927,99724.7177287884,175.543879655989,99724.7177287884,-4.45612034401133
123039.631712731,99702.5058604679,175.579365964216,99720.2773134187,175.507930992553,99720.2773134187,-4.49206900744658
124035.720402798,99697.6914408883,175.543721530981,99715.7653162405,175.471694387016,99715.7653162405,-4.52830561298439
125039.873101711,99692.799468297,175.507792030219,99711.1805932634,175.435167583291,99711.1805932634,-4.56483241670938
126052.155093052,99687.828705161,175.471575239062,99706.5219825381,175.398348308842,99706.5219825381,-4.60165169115763
127072.632188919,99682.7778945819,175.435068918699,99701.788303885,175.361234274593,99701.788303885,-4.63876572540652
128101.370734203,99677.6457600048,175.398270814293,99696.9783586197,175.323823174836,99696.9783586197,-4.67617682516414
129138.437610901,99672.4310049244,175.361178654904,99692.0909292736,175.286112687142,99692.0909292736,-4.71388731285837
130183.900242466,99667.1323125857,175.323790153409,99687.1247793111,175.248100472274,99687.1247793111,-4.75189952772573
131237.826598188,99661.7483456819,175.286103006423,99682.0786528435,175.2097841741,99682.0786528435,-4.7902158258997
132300.285197614,99656.277746048,175.248114894221,99676.9512743381,175.171161419501,99676.9512743381,-4.82883858049876
133371.345115004,99650.7191343495,175.209823480663,99671.7413483238,175.132229818286,99671.7413483238,-4.86777018171393
134451.075983821,99645.0711097677,175.171226413116,99666.4475590925,175.092986963104,99666.4475590925,-4.90701303689582
135539.548001256,99639.3322496809,175.132321322377,99661.0685703971,175.053430429359,99661.0685703971,-4.94656957064126
136636.831932795,99633.5011093408,175.0931058226,99655.6030251443,175.013557775121,99655.6030251443,-4.98644222487933
137742.999116818,99627.576221545,175.05357751122,99650.0495450844,174.973366541043,99650.0495450844,-5.02663345895691
138858.121469236,99621.5560963051,175.013733968881,99644.4067304962,174.932854250276,99644.4067304962,-5.06714574972354
