Rf_ohm,Cpd_F,ft_Hz,selected_Cf_F,best_peaking_dB,bandwidth_Hz,phase_at_bandwidth_deg,classification,classification_code
100000,5e-12,2030917.62090473,2.72833337648677e-12,1.79037037440099e-11,640704.56293546,-89.249940037563,Safe,1
100000,5e-12,2285463.86413499,2.72833337648677e-12,7.7936945846487e-11,655948.757536668,-86.5205709327574,Safe,1
100000,5e-12,2571913.80905935,2.42446201708233e-12,5.90361275023722e-12,739486.692165143,-89.6696240701989,Safe,1
100000,5e-12,2894266.12471675,2.42446201708233e-12,5.50418831357541e-11,755434.895726803,-86.7494570154013,Safe,1
100000,5e-12,3257020.65565978,2.42446201708233e-12,9.93488729136177e-11,767794.178707204,-83.6805846632699,Safe,1
100000,5e-12,3665241.23707963,2.15443469003189e-12,3.94082062480772e-11,868038.508641211,-86.9244324535427,Safe,1
100000,5e-12,4124626.38290135,2.15443469003189e-12,7.52503295246932e-11,880668.180439598,-83.7183478106033,Safe,1
100000,5e-12,4641588.83361278,1.91448197616996e-12,2.85923093832579e-11,995642.69245022,-87.0755137503576,Safe,1
100000,5e-12,5223345.07426684,1.91448197616996e-12,5.74276292879915e-11,1007930.98585482,-83.7074710500228,Safe,1
100000,5e-12,5878016.07227491,1.70125427985259e-12,2.10049808764383e-11,1139784.50936871,-87.1860198314577,Safe,1
100000,5e-12,6614740.64123015,1.70125427985259e-12,4.41044810101692e-11,1151970.25662331,-83.6954590435884,Safe,1
100000,5e-12,7443803.0132517,1.51177507061566e-12,1.56047470637513e-11,1302648.8756541,-87.2718443445077,Safe,1
100000,5e-12,8376776.40068292,1.51177507061566e-12,3.40523314988629e-11,1314225.54392046,-83.6511876482873,Safe,1
100000,5e-12,9426684.55117885,1.3433993325989e-12,1.17088640988821e-11,1486476.14356238,-87.3347685576388,Safe,1
100000,5e-12,10608183.5513945,1.3433993325989e-12,2.6405214689122e-11,1497689.83801556,-83.6161659818885,Safe,1
100000,5e-12,11937766.4171444,1.19377664171444e-12,8.8660267274864e-12,1694060.79534612,-87.3878910727295,Safe,1
100000,5e-12,13433993.325989,1.19377664171444e-12,2.05517469671593e-11,1704029.4917943,-83.5515952816036,Safe,1
100000,5e-12,15117750.7061566,1.06081835513945e-12,6.76379285040212e-12,1927746.46012208,-87.4102491112078,Safe,1
100000,5e-12,17012542.7985259,1.06081835513945e-12,1.60406230786326e-11,1936815.47093187,-83.4912939938921,Safe,1
100000,5e-12,19144819.7616996,9.42668455117885e-13,5.19386773485445e-12,2191589.65003992,-87.4369137509075,Safe,1
100000,5e-12,21544346.9003188,9.42668455117885e-13,1.25478289947823e-11,2199433.54213118,-83.438298727637,Safe,1
100000,5e-12,24244620.1708233,8.37677640068292e-13,4.00967360592764e-12,2488914.20858793,-87.4538210150077,Safe,1
100000,5e-12,27283333.7648677,8.37677640068292e-13,9.83421150390486e-12,2494819.77864193,-83.3715522880038,Safe,1
100000,5e-12,30702906.2975785,7.4438030132517e-13,3.10899175216724e-12,2823354.10980241,-87.4495676868101,Safe,1
100000,5e-12,34551072.9459222,7.4438030132517e-13,7.72233435215529e-12,2827402.20113508,-83.3039325200376,Safe,1
100000,5e-12,38881551.8030809,6.61474064123016e-13,2.42046194104841e-12,3200345.5336507,-87.4483972733894,Safe,1
